"Date","Price","Open","High","Low","Vol.","Change %"
"06-08-2018","3,163.35","3,220.00","3,244.00","3,132.43","1.20M","-1.03%"
"03-08-2018","3,196.35","3,260.00","3,261.00","3,184.10","344.50K","-1.00%"
"02-08-2018","3,228.70","3,240.00","3,274.50","3,219.53","232.30K","-0.50%"
"01-08-2018","3,244.93","3,290.00","3,312.50","3,212.47","307.08K","-0.80%"
"31-07-2018","3,271.10","3,189.95","3,280.00","3,145.72","344.68K","3.33%"
"30-07-2018","3,165.72","3,212.50","3,212.50","3,102.82","387.25K","-0.84%"
"27-07-2018","3,192.60","3,222.00","3,250.00","3,185.00","139.91K","-1.01%"
"26-07-2018","3,225.15","3,244.50","3,247.28","3,207.28","215.95K","0.10%"
"25-07-2018","3,222.00","3,249.50","3,262.00","3,215.00","108.57K","-0.35%"
"24-07-2018","3,233.22","3,232.50","3,247.50","3,199.00","158.03K","0.47%"
"23-07-2018","3,217.97","3,200.00","3,236.20","3,182.50","169.91K","1.22%"
"20-07-2018","3,179.07","3,188.00","3,217.35","3,155.50","193.86K","-0.22%"
"19-07-2018","3,186.15","3,182.50","3,198.20","3,141.62","197.25K","0.10%"
"18-07-2018","3,182.90","3,225.50","3,237.53","3,155.00","214.52K","-0.95%"
"17-07-2018","3,213.45","3,272.50","3,287.10","3,207.28","217.35K","-1.62%"
"16-07-2018","3,266.35","3,250.00","3,283.50","3,249.97","172.27K","0.89%"
"13-07-2018","3,237.55","3,195.00","3,250.00","3,195.00","220.69K","1.08%"
"12-07-2018","3,202.82","3,199.97","3,215.60","3,161.12","287.71K","0.75%"
"11-07-2018","3,178.88","3,204.00","3,204.47","3,154.00","294.28K","-0.50%"
"10-07-2018","3,194.85","3,205.00","3,212.53","3,185.12","183.95K","0.11%"
"09-07-2018","3,191.43","3,155.50","3,203.57","3,150.00","123.17K","1.16%"
"06-07-2018","3,154.95","3,145.00","3,179.75","3,140.50","234.68K","0.04%"
"05-07-2018","3,153.65","3,174.50","3,184.50","3,147.10","144.03K","0.12%"
"04-07-2018","3,149.88","3,105.03","3,159.55","3,105.03","197.91K","1.34%"
"03-07-2018","3,108.28","3,129.80","3,129.80","3,093.03","187.68K","-0.26%"
"02-07-2018","3,116.47","3,113.50","3,133.97","3,085.07","160.60K","0.31%"
"29-06-2018","3,106.88","3,075.00","3,128.97","3,056.15","315.22K","1.37%"
"28-06-2018","3,064.78","3,062.00","3,074.00","3,027.78","256.27K","0.69%"
