Date,Price,Open,High,Low,Vol.,Change %
13-10-2015,"1,557.53","1,597.42","1,597.42","1,541.75",420.72K,-1.75%
14-10-2015,"1,590.70","1,555.00","1,599.67","1,549.33",279.65K,2.13%
15-10-2015,"1,589.33","1,599.62","1,599.62","1,575.62",201.80K,-0.09%
16-10-2015,"1,614.38","1,597.53","1,624.00","1,586.65",367.84K,1.58%
19-10-2015,"1,652.00","1,624.97","1,655.30","1,620.05",711.93K,2.33%
20-10-2015,"1,650.03","1,662.47","1,663.22","1,637.97",423.18K,-0.12%
21-10-2015,"1,643.33","1,652.50","1,656.20","1,638.00",355.42K,-0.41%
23-10-2015,"1,623.22","1,650.00","1,650.00","1,619.15",199.96K,-1.22%
26-10-2015,"1,601.70","1,620.00","1,625.00","1,592.88",297.96K,-1.33%
27-10-2015,"1,592.10","1,604.97","1,619.20","1,587.80",308.45K,-0.60%
28-10-2015,"1,596.53","1,572.50","1,612.00","1,572.50",304.41K,0.28%
29-10-2015,"1,595.08","1,590.10","1,610.00","1,586.20",370.82K,-0.09%
30-10-2015,"1,615.95","1,594.60","1,627.70","1,586.62",310.49K,1.31%
02-11-2015,"1,593.28","1,611.85","1,619.50","1,580.17",288.34K,-1.40%
03-11-2015,"1,588.67","1,607.00","1,611.00","1,581.00",197.50K,-0.29%
04-11-2015,"1,590.62","1,590.00","1,598.15","1,576.90",219.05K,0.12%
05-11-2015,"1,589.40","1,592.35","1,610.00","1,577.85",231.46K,-0.08%
06-11-2015,"1,565.00","1,595.00","1,611.78","1,542.75",248.56K,-1.54%
09-11-2015,"1,522.28","1,537.50","1,572.50","1,517.50",601.31K,-2.73%
10-11-2015,"1,517.67","1,515.00","1,548.00","1,508.05",301.77K,-0.30%
11-11-2015,"1,523.75","1,525.50","1,534.65","1,518.50",52.41K,0.40%
13-11-2015,"1,455.70","1,519.50","1,519.50","1,450.70",548.76K,-4.47%
16-11-2015,"1,423.05","1,445.00","1,450.00","1,414.50",685.85K,-2.24%
17-11-2015,"1,439.05","1,426.50","1,451.42","1,426.50",362.13K,1.12%
18-11-2015,"1,429.20","1,440.00","1,453.40","1,422.47",315.84K,-0.68%
19-11-2015,"1,472.25","1,439.00","1,477.00","1,432.50",317.12K,3.01%
20-11-2015,"1,483.58","1,483.95","1,504.50","1,473.03",282.26K,0.77%
23-11-2015,"1,490.17","1,487.50","1,498.38","1,486.00",161.99K,0.44%
24-11-2015,"1,470.55","1,487.50","1,492.50","1,456.88",311.81K,-1.32%
26-11-2015,"1,450.42","1,470.00","1,495.95","1,441.28",495.60K,-1.37%
27-11-2015,"1,463.88","1,457.50","1,469.00","1,448.25",202.56K,0.93%
30-11-2015,"1,461.53","1,462.00","1,472.50","1,447.50",232.87K,-0.16%
01-12-2015,"1,485.72","1,463.05","1,492.50","1,451.53",324.79K,1.66%
02-12-2015,"1,480.08","1,492.00","1,492.00","1,471.03",107.43K,-0.38%
03-12-2015,"1,465.92","1,477.50","1,489.72","1,463.25",143.22K,-0.96%
04-12-2015,"1,467.97","1,465.00","1,478.95","1,457.00",149.13K,0.14%
07-12-2015,"1,440.90","1,467.97","1,467.97","1,436.42",218.66K,-1.84%
08-12-2015,"1,439.15","1,435.00","1,454.65","1,427.55",241.84K,-0.12%
09-12-2015,"1,398.72","1,435.05","1,435.70","1,393.00",245.65K,-2.81%
10-12-2015,"1,433.22","1,400.00","1,444.85","1,360.53",578.63K,2.47%
11-12-2015,"1,390.40","1,433.22","1,440.45","1,381.75",445.34K,-2.99%
14-12-2015,"1,414.00","1,381.50","1,423.50","1,372.40",301.03K,1.70%
15-12-2015,"1,440.03","1,415.00","1,443.00","1,411.58",228.25K,1.84%
16-12-2015,"1,407.00","1,442.35","1,447.50","1,404.03",290.94K,-2.29%
17-12-2015,"1,455.38","1,420.00","1,459.50","1,405.50",333.38K,3.44%
18-12-2015,"1,445.15","1,450.50","1,474.25","1,438.97",318.94K,-0.70%
21-12-2015,"1,471.50","1,443.50","1,475.00","1,441.00",211.70K,1.82%
22-12-2015,"1,458.45","1,475.00","1,481.50","1,455.85",196.71K,-0.89%
23-12-2015,"1,448.12","1,462.58","1,473.25","1,444.28",193.71K,-0.71%
24-12-2015,"1,455.35","1,463.50","1,464.00","1,440.45",163.94K,0.50%
28-12-2015,"1,452.17","1,456.00","1,462.50","1,449.75",174.49K,-0.22%
29-12-2015,"1,488.90","1,455.05","1,492.75","1,455.00",313.52K,2.53%
30-12-2015,"1,488.05","1,495.00","1,498.00","1,480.78",169.64K,-0.06%
31-12-2015,"1,483.15","1,492.50","1,506.50","1,474.03",480.32K,-0.33%
01-01-2016,"1,493.20","1,481.20","1,501.67","1,481.20",129.49K,0.68%
04-01-2016,"1,486.30","1,490.00","1,502.22","1,476.00",253.61K,-0.46%
05-01-2016,"1,483.35","1,488.55","1,496.28","1,475.15",228.50K,-0.20%
06-01-2016,"1,500.85","1,476.50","1,503.00","1,476.50",267.28K,1.18%
07-01-2016,"1,473.28","1,495.00","1,497.42","1,455.53",298.80K,-1.84%
08-01-2016,"1,451.15","1,473.50","1,484.00","1,440.95",333.41K,-1.50%
11-01-2016,"1,459.65","1,445.05","1,464.50","1,420.58",264.81K,0.59%
12-01-2016,"1,470.10","1,460.00","1,493.70","1,450.50",357.37K,0.72%
13-01-2016,"1,452.60","1,470.10","1,480.72","1,433.28",509.21K,-1.19%
14-01-2016,"1,448.80","1,444.97","1,457.50","1,420.55",279.52K,-0.26%
15-01-2016,"1,429.58","1,454.95","1,467.00","1,425.25",266.61K,-1.33%
18-01-2016,"1,382.65","1,425.00","1,435.00","1,372.80",422.41K,-3.28%
19-01-2016,"1,366.50","1,375.00","1,380.08","1,361.53",296.50K,-1.17%
20-01-2016,"1,339.85","1,359.92","1,360.00","1,302.50",547.55K,-1.95%
21-01-2016,"1,309.85","1,358.50","1,364.53","1,302.67",509.58K,-2.24%
22-01-2016,"1,307.95","1,325.00","1,330.00","1,301.20",544.20K,-0.15%
25-01-2016,"1,301.30","1,316.35","1,324.50","1,294.38",497.20K,-0.51%
27-01-2016,"1,324.83","1,306.00","1,327.50","1,300.45",912.52K,1.81%
28-01-2016,"1,335.12","1,335.00","1,348.97","1,321.78",700.71K,0.78%
29-01-2016,"1,344.72","1,342.50","1,348.50","1,338.50",389.02K,0.72%
01-02-2016,"1,400.25","1,355.00","1,407.50","1,349.62",696.66K,4.13%
02-02-2016,"1,396.42","1,401.65","1,437.75","1,385.55",642.30K,-0.27%
03-02-2016,"1,414.03","1,390.00","1,427.40","1,363.28",500.41K,1.26%
04-02-2016,"1,428.15","1,424.00","1,439.85","1,407.50",762.51K,1.00%
05-02-2016,"1,431.25","1,428.08","1,435.97","1,407.50",518.81K,0.22%
08-02-2016,"1,427.38","1,432.75","1,476.67","1,421.92",388.86K,-0.27%
09-02-2016,"1,391.55","1,421.00","1,445.00","1,380.00",498.77K,-2.51%
10-02-2016,"1,361.00","1,420.00","1,435.00","1,343.85",687.42K,-2.20%
11-02-2016,"1,317.00","1,350.00","1,364.88","1,305.55",583.35K,-3.23%
12-02-2016,"1,282.10","1,325.00","1,328.95","1,252.53",713.85K,-2.65%
15-02-2016,"1,332.95","1,302.50","1,355.00","1,286.00",710.51K,3.97%
